_id,date,title,season,episode,duration,watched
56,2017.10.23,6,3,4,42,True
57,2017.10.30,6,3,5,42,True
58,2017.11.06,6,3,6,42,True
59,2017.11.13,6,3,7,42,False
60,2017.11.20,6,3,8,42,False
61,2017.12.04,6,3,9,42,False
62,2017.12.11,6,3,10,42,False
63,2018.01.01,6,3,11,42,False
64,,6,3,12,42,False
65,,6,3,13,42,False
66,,6,3,14,42,False
67,,6,3,15,42,False
68,2017.11.29,7,5,1,45,False
69,2017.11.29,7,5,2,45,False
70,2017.12.06,7,5,3,45,False
71,2017.12.13,7,5,4,45,False
72,2017.12.20,7,5,5,45,False
73,2017.12.27,7,5,6,45,False
74,2018.01.03,7,5,7,45,False
75,2018.01.10,7,5,8,45,False
76,2018.01.17,7,5,9,45,False
77,2018.01.24,7,5,10,45,False
78,2017.09.26,8,15,1,40,True
79,2017.10.03,8,15,2,40,True
80,2017.10.10,8,15,3,40,True
81,2017.10.17,8,15,4,40,False
82,2017.10.24,8,15,5,40,False
83,2017.10.31,8,15,6,40,False
84,2017.11.07,8,15,7,40,False
85,2017.11.14,8,15,8,40,False
86,2017.11.21,8,15,9,40,False
87,2017.12.12,8,15,10,40,False
88,2018.01.02,8,15,11,40,False
89,2018.01.09,8,15,12,40,False
90,2017.10.01,9,9,1,40,True
91,2017.10.08,9,9,2,40,True
92,2017.10.15,9,9,3,40,True
93,2017.10.22,9,9,4,40,True
94,2017.10.29,9,9,5,40,True
95,2017.11.05,9,9,6,40,True
96,2017.11.12,9,9,7,40,False
97,2017.11.19,9,9,8,40,False
98,2017.11.26,9,9,9,40,False
99,2017.12.10,9,9,10,40,False
100,2017.12.17,9,9,11,40,False
101,2018.01.07,9,9,12,40,False
102,2018.01.14,9,9,13,40,False
103,2017.10.27,10,3,1,43,True
104,2017.11.03,10,3,2,43,True
105,2017.11.10,10,3,3,43,True
106,2017.11.17,10,3,4,43,True
107,2017.12.01,10,3,5,43,True
108,2017.12.08,10,3,6,43,True
109,2017.12.15,10,3,7,43,True
110,2017.12.22,10,3,8,43,True
111,2018.01.12,10,3,9,43,False
112,2018.01.19,10,3,10,43,False
113,,10,3,11,43,False
114,,10,3,12,43,False
115,,10,3,13,43,False
116,,10,3,14,43,False
117,,10,3,15,43,False
118,,10,3,16,43,False
119,2017.09.27,11,5,1,45,True
120,2017.10.04,11,5,2,45,True
121,2017.10.11,11,5,3,45,False
122,2017.10.18,11,5,4,45,False
123,2017.10.25,11,5,5,45,False
124,2017.11.01,11,5,6,45,False
125,2017.11.08,11,5,7,45,False
126,2017.11.15,11,5,8,45,False
127,2018.01.03,11,5,9,45,False
128,2018.01.10,11,5,10,45,False
129,2018.01.17,11,5,11,45,False
130,2017.10.12,12,6,1,42,True
131,2017.10.19,12,6,2,42,True
132,2017.10.26,12,6,3,42,False
133,2017.11.02,12,6,4,42,False
134,2017.11.09,12,6,5,42,False
135,2017.11.16,12,6,6,42,False
136,2017.11.23,12,6,7,42,False
137,2017.11.27,12,6,8,42,False
138,2017.12.07,12,6,9,42,False
139,2018.01.18,12,6,10,42,False
140,,12,6,11,42,False
141,,12,6,12,42,False
142,,12,6,13,42,False
143,,12,6,14,42,False
144,2017.09.25,13,11,1,22,True
145,2017.10.02,13,11,2,22,True
146,2017.10.09,13,11,3,22,True
147,2017.10.16,13,11,4,22,True
148,2017.10.23,13,11,5,22,True
149,2017.11.02,13,11,6,22,True
150,2017.11.09,13,11,7,22,True
151,2017.11.16,13,11,8,22,True
152,2017.11.30,13,11,9,22,True
153,2017.12.07,13,11,10,22,False
154,2017.12.14,13,11,11,22,False
155,2018.01.04,13,11,12,22,False
156,2018.01.11,13,11,13,22,False
157,2017.09.28,14,6,1,42,True
158,2017.10.05,14,6,2,42,True
159,2017.10.12,14,6,3,42,True
160,2017.10.19,14,6,4,42,True
161,2017.10.26,14,6,5,42,True
162,2017.11.02,14,6,6,42,False
163,2018.01.04,14,6,7,42,False
164,2018.01.11,14,6,8,42,False
165,2018.01.18,14,6,9,42,False
166,2018.01.25,14,6,10,42,False
167,2018.02.01,14,6,11,42,False
168,2017.09.25,15,4,1,42,True
169,2017.10.02,15,4,2,42,True
170,2017.10.09,15,4,3,42,True
171,2017.10.16,15,4,4,42,False
172,2017.10.23,15,4,5,42,False
173,2017.10.30,15,4,6,42,False
174,2017.11.06,15,4,7,42,False
175,2017.11.13,15,4,8,42,False
